date,sort_date,year,type,period,non_expert_title,title,place,public_text,expert_text,source_label,source_url,source_label_2,source_url_2,source_label_3,source_url_3,local_backup
2019-02,2019-02,2019,media,ETH Zurich,,SRF radio appearance on ETH power-abuse concerns,Schweizer Radio und Fernsehen,"This is a public-facing trace of my work or scientific engagement. I include it because it shows where the research, the people around it, or the institutional context became visible beyond a paper.",,SRF audio,https://www.srf.ch/audio/regionaljournal-basel-baselland/gotthold-flaeschner-und-timm-schroeder-wollen-den-machtmissbrauch-an-der-eth-in-basel-bekaempfen?uuid=3b0564ee-e964-4501-82c7-ad0ef130bedc,,,,,archive/media/2019-srf-eth-work-environment/
2019,02/01/2019,2019,publication,ETH Zurich,Using AFM to feel living systems,Atomic force microscopy-based mechanobiology,Nature Reviews Physics,"This review explains how atomic force microscopy can touch, image, and mechanically probe molecules, cells, and tissues. It places AFM as one of the key tools for understanding how biology senses and responds to forces.","The review surveys AFM modalities for mapping dynamic mechanical properties and morphology in biological systems, from molecules to cells and tissues. It discusses links between mechanics and function and combinations with optical, spectroscopic, electrophysiological, and microfluidic approaches.",DOI,https://doi.org/10.1038/s42254-018-0001-7,,,,,archive/publications/2019-nature-reviews-physics-afm/
2019,2019-01,2019,publication,ETH Zurich,Software for analysing cell-mass measurements,Automated analysis of inertial mass measurements of single cells,SoftwareX,This software paper makes picobalance-style cell-mass measurements easier to analyse automatically. It turns raw inertial mass data into growth and fluctuation information in a more reproducible workflow.,"The SoftwareX contribution provides automated analysis routines for inertial single-cell mass measurements, supporting extraction of mass traces and related parameters from picobalance data. It helps standardize processing of high-time-resolution cell-mass experiments.",DOI,https://doi.org/10.1016/j.softx.2019.100303,,,,,archive/publications/2019-softwarex-inertial-mass/
19/11/2018,19/11/2018,2018,media,ETH Zurich,,20 years of AG Faszination Physik at DESY,DESYinform,"This is a public-facing trace of my work or scientific engagement. I include it because it shows where the research, the people around it, or the institutional context became visible beyond a paper.",,DESYinform PDF,https://www.desy.de/sites2009/site_www-desy/content/e409/e8731/e8852/e8858/infoboxContent285305/DESYinform_3_18_englow_eng.pdf,,,,,archive/media/2018-desyinform/
11/06/2018,11/06/2018,2018,talk,ETH Zurich,,Cryptography from Caesar to Bitcoin and quantum computers,"Einstein-Forum, HAW Hamburg","I gave or contributed to this talk at Einstein-Forum, HAW Hamburg. I include it because public explanation and exchange have been part of my scientific work, not a side activity.",,idw / HAW announcement,https://nachrichten.idw-online.de/2018/03/08/neues-einstein-forum-vorlesungsreihe-von-haw-hamburg-und-planetarium-hamburg,,,,,archive/sources/2018-einstein-forum/
07/06/2018,07/06/2018,2018,award,ETH Zurich,,Swiss Nanoscience PhD Award,Swiss Nanoscience Institute / ETH Zurich,I received this distinction during the period shown on the timeline. I include it as a marker of recognition rather than as a separate CV list.,,ETH announcement,https://bsse.ethz.ch/news-and-events/d-bsse-news/2018/06/swiss-nanotech-award-given-to-rajib-schubert-and-gotthold-flaeschner.html,,,,,archive/sources/2018-swiss-nanoscience-award/
27/04/2018,27/04/2018,2018,talk,ETH Zurich,,Blockchain for physics (dummies),"BE Auditorium Meyrin, CERN","I gave this 30-minute CERN/Meyrin talk together with Martin Etzrodt. It sits nicely in the timeline because it shows an early curiosity about scientific infrastructure, trust, and open systems.",,,,,,,,archive/sources/2018-cern-blockchain-for-physics/
12/03/2018,12/03/2018,2018,talk,ETH Zurich,,Superconductivity: the path of least resistance,"Einstein-Forum, HAW Hamburg","I gave or contributed to this talk at Einstein-Forum, HAW Hamburg. I include it because public explanation and exchange have been part of my scientific work, not a side activity.",,idw / HAW announcement,https://nachrichten.idw-online.de/2018/03/08/neues-einstein-forum-vorlesungsreihe-von-haw-hamburg-und-planetarium-hamburg,,,,,archive/sources/2018-einstein-forum/
09/03/2018,09/03/2018,2018,talk,ETH Zurich,,"Exotic stars: giants, dwarfs, and other exotics","Einstein-Forum, Planetarium Hamburg","I gave or contributed to this talk at Einstein-Forum, Planetarium Hamburg. I include it because public explanation and exchange have been part of my scientific work, not a side activity.",,idw / HAW announcement,https://nachrichten.idw-online.de/2018/03/08/neues-einstein-forum-vorlesungsreihe-von-haw-hamburg-und-planetarium-hamburg,,,,,archive/sources/2018-einstein-forum/
2018,2018-01,2018,publication,ETH Zurich,How vaccinia virus makes infected cells move,Vaccinia virus hijacks EGFR signalling to enhance virus spread,Nature Microbiology,This study shows that vaccinia virus helps itself spread by making infected cells move more directionally. It hijacks growth-factor signalling so infection can advance through tissue more efficiently.,"VACV VGF is secreted from early infected cells, cleaved by ADAM10, and acts mainly in trans to activate EGFR/MAPK/FAK-dependent motility at the infection front. VGF or F11 deletion and pathway inhibitors reduce radial velocity, directional migration, and viral spread in vitro and in vivo.",DOI,https://doi.org/10.1038/s41564-018-0288-2,,,,,archive/publications/2018-nature-microbiology-vaccinia/
29/12/2017,29/12/2017,2017,talk,ETH Zurich,,Einstein and gravitational waves,Planetarium Hamburg / HAW Hamburg,"I gave or contributed to this talk at Planetarium Hamburg / HAW Hamburg. I include it because public explanation and exchange have been part of my scientific work, not a side activity.",,Programme PDF,https://www.hamburg-city-webguide.de/wp-content/uploads/2017/11/HAW_Einstein_Programm_20171024_RZ-ANSICHT.pdf,,,,,archive/sources/2017-haw-planetarium-programme/
27/12/2017,27/12/2017,2017,talk,ETH Zurich,,Star Trek and Star Wars: a physical perspective,Planetarium Hamburg / HAW Hamburg,"I gave or contributed to this talk at Planetarium Hamburg / HAW Hamburg. I include it because public explanation and exchange have been part of my scientific work, not a side activity.",,Programme PDF,https://www.hamburg-city-webguide.de/wp-content/uploads/2017/11/HAW_Einstein_Programm_20171024_RZ-ANSICHT.pdf,,,,,archive/sources/2017-haw-planetarium-programme/
20/12/2017,20/12/2017,2017,media,ETH Zurich,,Nature selected an image from the cell-mass work among the best science images of 2017,ETH D-BSSE,"This is a public-facing trace of my work or scientific engagement. I include it because it shows where the research, the people around it, or the institutional context became visible beyond a paper.",,ETH D-BSSE,https://bsse.ethz.ch/news-and-events/d-bsse-news/2017/12/the-10-best-science-images-of-the-year-2017---nature-awards-daniel-muellers-work.html,,,,,archive/media/2017-nature-best-images/
18/12/2017,18/12/2017,2017,publication,ETH Zurich,Putting viruses onto chosen single cells,Virus stamping for targeted single-cell infection,Nature Biotechnology,"Virus stamping is a way to infect exactly selected single cells instead of a whole population. Viruses are carried on a tiny pipette or magnetic particles and placed directly onto target cells in culture, tissue, or even living animals.","The method reversibly binds viruses to functionalized glass pipette tips or magnetic nanoparticles and delivers them by mechanical or magnetic contact to chosen cells. It enables targeted single-cell infection with different or multiple viral vectors across cell culture, mouse retina, human brain organoids, and live mouse brain.",Crossref metadata,https://crossmark.crossref.org/dialog/?doi=10.1038%2Fnbt.4034,,,,,archive/publications/2017-nature-biotechnology-virus-stamping/
26/10/2017,2017-10-26-1,2017,publication,ETH Zurich,Weighing living cells in real time,Inertial picobalance reveals fast mass fluctuations in mammalian cells,Nature,"We built a tiny balance that can follow the mass of living adherent cells over days with millisecond timing. It revealed that cell mass fluctuates rapidly by a few percent, linked to energy production and water transport.","An optically excited microresonator picobalance measures adherent-cell mass under culture conditions with picogram sensitivity and millisecond time resolution. It detects intrinsic 1-4% mass fluctuations, links them to ATP synthesis and water transport, and shows vaccinia infection arrests growth while fluctuations persist.",PubMed,https://pubmed.ncbi.nlm.nih.gov/29072271/,DOI,https://doi.org/10.1038/nature24288,,,archive/publications/2017-nature-picobalance/
26/10/2017,26/10/2017,2017,media,ETH Zurich,,Wie viel wiegt das Leben?,ETH Zurich News,"I use this ETH news piece to show how our single-cell weighing work was presented to a broader audience, because explaining why a measurement matters is part of making the method useful.",,ETH news,https://ethz.ch/de/news-und-veranstaltungen/eth-news/news/2017/10/waage-fuer-einzelne-zellen.html,,,,,archive/media/2017-eth-picobalance-news/
2017,02/09/2017,2017,patent,ETH Zurich,,Microcantilever measuring device and method for determining mass and/or properties of biological systems,International patent application,I include this patent because it reflects the practical side of my work: turning measurement ideas and instruments into methods that can travel beyond one lab.,,,,,,,,CV_GFlaeschner.pdf
2017,2017-09,2017,patent,ETH Zurich,,Apparatus and method for determining mechanical properties of a system,International patent application,I include this patent because it captures the applied side of my work on measuring mechanical properties in biological systems.,,,,,,,,CV_GFlaeschner.pdf
22/02/2017,22/02/2017,2017,publication,ETH Zurich,Building a bridge between cold atoms and tiny mechanics,Millikelvin all-fiber cavity optomechanical apparatus,Review of Scientific Instruments,This early physics work built an instrument to couple ultracold atoms to a tiny mechanical oscillator inside a cryogenic setup. It belongs to my path from precision physics toward measuring living systems.,The apparatus combines an in-situ adjustable all-fiber membrane-in-the-middle cavity inside an ultra-high-vacuum dilution refrigerator with ultracold rubidium atoms. It produces Bose-Einstein condensates of about 2 x 10^6 atoms in under 20 s and achieves strong single-photon optomechanical coupling with a high mechanical quality factor.,arXiv preprint,https://arxiv.org/abs/1611.03406,,,,,archive/publications/2017-rsi-optomechanics/
2016,2016-01,2016,award,ETH Zurich,,NCCR Molecular Systems Engineering Poster Cup Winner,NCCR Molecular Systems Engineering,I received this distinction during the period shown on the timeline. I include it as a marker of recognition rather than as a separate CV list.,,,,,,,,CV_GFlaeschner.pdf
2015,2015-03,2015,publication,ETH Zurich,Understanding AFM cantilevers as tiny oscillators,Temperature and non-linear response of AFM cantilever-type oscillators,Applied Physics Letters,This paper studies how AFM cantilevers behave when temperature and oscillation amplitude change. Understanding these tiny oscillators is part of making sensitive physical measurements reliable.,"The work characterizes temperature-dependent and nonlinear response in AFM cantilever-type oscillators, relevant for interpreting resonance behaviour and calibration in precision force measurements. It connects oscillator dynamics to the limits and reliability of AFM-based sensing.",DOI,https://doi.org/10.1063/1.4916221,,,,,archive/publications/2015-applied-physics-letters/
10/12/2014,10/12/2014,2014,talk,ETH Zurich,,The journey into space: propulsion methods and concepts,DESY Science Cafe,"I gave or contributed to this talk at DESY Science Cafe. I include it because public explanation and exchange have been part of my scientific work, not a side activity.",,DESY program,https://sciencecafe.desy.de/e205504/e241624/,,,,,archive/sources/2014-desy-space-travel/
2014,2014-06,2014,milestone,ETH Zurich,,Begin PhD,,,,,,,,,,
22/05/2014,22/05/2014,2014,talk,Hamburg,,"Exotic stars: giants, dwarfs, and other exotics",HAW Hamburg Einstein-Forum,"I gave or contributed to this talk at HAW Hamburg Einstein-Forum. I include it because public explanation and exchange have been part of my scientific work, not a side activity.",,,,,,,,gotthold_flaeschner_public_online_footprint_chronology_v2.docx
24/04/2014,24/04/2014,2014,talk,Hamburg,,Black holes: nothing is darker than black,HAW Hamburg Einstein-Forum,"I gave or contributed to this talk at HAW Hamburg Einstein-Forum. I include it because public explanation and exchange have been part of my scientific work, not a side activity.",,,,,,,,gotthold_flaeschner_public_online_footprint_chronology_v2.docx
27/03/2014,27/03/2014,2014,talk,Hamburg,,The Standard Model: why the world is the way it is,HAW Hamburg Einstein-Forum,"I gave or contributed to this talk at HAW Hamburg Einstein-Forum. I include it because public explanation and exchange have been part of my scientific work, not a side activity.",,,,,,,,gotthold_flaeschner_public_online_footprint_chronology_v2.docx
05/12/2013,05/12/2013,2013,talk,,,Can science fiction become science fact?,HAW Hamburg Einstein-Forum,"I gave or contributed to this talk at HAW Hamburg Einstein-Forum. I include it because public explanation and exchange have been part of my scientific work, not a side activity.",,,,,,,,gotthold_flaeschner_public_online_footprint_chronology_v2.docx
2013,2013-12,2013,milestone,Hamburg,,End M.Sc. in physics,,,,,,,,,,
2013-11,2013-11,2013,talk,,,The Big Bang Theory: Der Urknall,HAW Hamburg Einstein-Workshop,"I gave or contributed to this talk at HAW Hamburg Einstein-Workshop. I include it because public explanation and exchange have been part of my scientific work, not a side activity.",,,,,,,,gotthold_flaeschner_public_online_footprint_chronology_v2.docx
11/01/2012,11/01/2012,2012,talk,,,On the fast lane: does Einstein's relativity falter?,DESY Science Cafe,"I gave or contributed to this talk at DESY Science Cafe. I include it because public explanation and exchange have been part of my scientific work, not a side activity.",,DESY program,https://sciencecafe.desy.de/e205504/e205519/,DESY feedback,https://sciencecafe.desy.de/e52/,,,archive/sources/2012-desy-relativity-talk/
2009-2013,01/10/2009,2009,award,,,Scholarship of the Studienstiftung des Deutschen Volkes,Studienstiftung des Deutschen Volkes,I received this distinction during the period shown on the timeline. I include it as a marker of recognition rather than as a separate CV list.,,,,,,,,CV_GFlaeschner.pdf
2009,2009-10,2009,milestone,Hamburg,,Begin B.Sc. in physics,,,,,,,,,,
27/11/2008,27/11/2008,2008,talk,,,Curved spaces: the shape of the universe,DESY Science Cafe,"I gave or contributed to this talk at DESY Science Cafe. I include it because public explanation and exchange have been part of my scientific work, not a side activity.",,DESY program,https://sciencecafe.desy.de/e205504/e205557/,,,,,archive/sources/2008-desy-science-cafe/
